id,name 
380795272,Krondor The Betrayal
1416949658,The Dark Is Rising
1857231082,The Black Unicorn 
553803700,"I, Robot"
080213825X,Four Blondes
375913750,"Love, Stargirl"
074349671X,The Tenth Circle
743454553,Vanishing Acts
765317508,Aztec
142501085,Marlfox
1442468351,Lady Midnight
1439152802,The Secret Keeper
399153942,The Afghan
441017835,A Touch of Dead
590554107,Daja's Book
1451648537,Steve Jobs
590396560,Cold Fire
000723368X,Thanks for the Memories
803734735,Bitterblue
1592243002,Daisy Miller
055337849X,The Brothers K
61150142,The Pact
739328271,Plum Spooky
62076108,Twice Tempted 
039925675X,Legend
1595543414,Thr3e
446679097,The Lion's Game
385339607,The Rainmaker
1250012570,Eleanor & Park
786838655,The Lightning Thief
440225450,The Final Detail
743484355,A Cry in the Night
670016780,Half Bad
140621733,Lady Windermere's Fan
61662763,The Awakening
006117758X,Ham on Rye
1423102266,The Van Alen Legacy 
067056172X,A Pocket for Corduroy
385339097,The Street Lawyer
413757102,Revolutionary Road
441569595,Neuromancer
684833395,Catch-22
1416950737,sTORI Telling
140501827,The Snowy Day
99285444,Invisible Monsters
552555703,Noughts & Crosses
671047345,Separation of Power
812995201,The Weight of Blood
812995341,Lincoln in the Bardo
553589377,Kiss of Midnight
1476798176,Did You Ever Have a Family
6640613,The Tiger Who Came to Tea
395870828,Tuesday
1585678759,My Man Jeeves
425241130,Hit List
743417321,Cabal
1598184318,The Sea Wolf
312571259,One Good Dog
345424646,A Knight of the Word 
393062627,The Lonely Polygamist
312624670,Born at Midnight
451235843,Lover Reborn
1400079497,The Plot Against America
1857988094,I Am Legend 
1423121309,Hex Hall
451169514,It
61053562,The Player of Games
156949601,The Waves
446617792,The Angel Experiment
60096187,Teen Idol
345484088,Armageddon's Children
345379063,Legend 
60824972,The Thief
312932804,Welcome to Temptation
1857989341,The Gods Themselves
425234339,Bullet
765326264,A Dog's Purpose 
446580309,The Devil You Know
812966929,number9dream
62049879,A Week to Be Wicked
7198914,A Place Called Here
393307050,Master and Commander
802136834,The Six Wives of Henry VIII
553590162,Industrial Magic
439441722,The Will of the Empress
446611212,Violets Are Blue
61092193,Men at Arms
034541005X,The Power of One
670022411,A Discovery of Witches
1451683405,Free Will
440242916,Faithless
60586133,Three Wishes
